StudentID,FirstName,LastName,Class,Term,Math,English,Science,History,Attendance (%),ProjectScore,Passed (Y/N),IncomeStudent,Cohort,Track
1079,Emma,White,11A,2,62.0,79.0,75.0,43.0,79.9,66.0,True,True,25-26,Data
1115,Alice,Martin,10A,2,62.0,55.0,67.0,81.0,88.0,61.0,True,False,26-27,Data
1172,Daniel,White,12A,1,99.0,79.0,81.0,79.0,85.9,80.0,True,False,27-28,Data
1063,Elijah,Lee,12A,1,65.0,75.0,88.0,75.0,84.1,71.0,True,False,25-26,Data
1053,Benjamin,Morgan,11B,1,60.0,37.0,88.0,78.0,77.5,68.0,True,False,25-26,Data
1131,Noah,Lee,11B,1,85.0,99.0,72.0,84.0,93.8,94.0,True,True,25-26,Data
1164,Ava,Taylor,11A,1,76.0,84.0,66.0,73.0,93.0,99.0,True,False,27-28,Data
1198,Daniel,Taylor,11A,1,40.0,49.0,78.0,64.0,100.0,50.0,False,True,27-28,Data
1004,Ethan,Morgan,12A,2,82.0,89.0,64.0,79.0,87.7,76.0,True,True,27-28,Data
1156,Ava,Harris,10B,1,72.3,62.0,55.0,56.0,73.8,52.0,False,True,25-26,Data
1001,James,White,12A,2,83.0,77.0,75.0,89.0,97.2,72.0,True,False,26-27,Data
1081,Emma,Martin,10B,2,100.0,90.0,76.0,52.0,73.1,98.0,True,False,27-28,Data
1098,Lucas,Brown,10A,1,64.0,70.0,84.0,77.0,85.5,72.0,True,False,25-26,Data
1152,Amelia,Walker,12A,1,94.0,94.0,95.0,66.0,62.2,77.0,True,True,27-28,Data
1083,Harper,Lee,10B,2,58.0,55.0,87.0,51.0,74.6,79.0,True,True,25-26,Data
1085,Benjamin,Lee,10B,2,59.0,40.0,69.0,69.0,85.5,53.0,False,False,27-28,Data
1082,Ava,Johnson,12A,1,95.0,65.0,60.0,86.0,81.5,95.0,True,True,26-27,Data
1163,Daniel,Morgan,11A,2,88.0,68.0,75.0,73.0,87.8,63.0,True,False,25-26,Data
1045,Lucas,Smith,10A,1,68.0,58.0,57.0,72.7,98.1,61.0,True,False,26-27,Data
1121,Benjamin,Smith,10A,2,47.0,65.0,83.0,51.0,90.0,58.0,True,False,26-27,Data
1159,Elijah,Harris,10B,1,41.0,77.0,80.0,88.0,84.1,80.0,True,True,26-27,Data
1022,Isabella,White,12B,1,89.0,42.0,74.0,68.0,83.0,67.0,True,True,25-26,Data
1039,Sophia,Johnson,10B,2,53.0,53.0,52.0,48.0,75.1,50.0,False,True,25-26,Data
1057,Alice,Morgan,11B,2,59.0,72.0,72.0,81.0,90.0,66.0,True,False,27-28,Data
1065,Benjamin,Taylor,11A,1,98.0,82.0,90.0,70.0,76.5,77.0,True,False,26-27,Data
1199,Olivia,Harris,12A,1,83.0,67.0,65.0,75.0,92.5,58.0,True,False,27-28,Data
1030,Amelia,Harris,10A,2,69.0,68.0,72.5,60.0,100.0,63.0,True,True,25-26,Data
1191,Mia,Smith,10A,2,46.0,88.0,72.0,97.0,87.8,69.0,True,False,27-28,Data
1113,Liam,Lee,12A,1,94.0,100.0,97.0,96.0,81.3,83.0,True,False,25-26,Data
1138,Amelia,Brown,11B,1,69.0,58.0,73.0,68.0,77.0,68.0,True,False,25-26,Data
1015,James,Walker,12A,2,83.0,100.0,56.0,52.0,88.0,59.0,True,False,25-26,Data
1059,Daniel,Brown,10A,1,83.0,68.0,84.0,88.0,74.3,84.0,True,True,27-28,Data
1038,Olivia,Walker,11B,2,61.0,76.0,84.0,72.0,78.2,84.0,True,True,27-28,Data
1130,Lucas,Martin,10A,2,81.0,44.0,70.0,59.0,81.8,62.0,True,False,27-28,Data
1142,Emma,Brown,10B,1,67.0,69.0,64.0,38.0,84.7,57.0,False,False,27-28,Data
1003,Emma,Johnson,10A,1,85.0,97.0,55.0,100.0,69.6,90.0,True,False,26-27,Data
1100,Olivia,Brown,12A,1,72.0,100.0,82.0,90.0,78.5,72.0,True,True,26-27,Data
1154,Isabella,Taylor,12A,1,100.0,97.0,80.0,65.0,87.1,86.0,True,False,25-26,Data
1023,Benjamin,Walker,11B,1,64.0,65.0,62.0,80.0,84.1,77.0,True,False,25-26,Data
1125,Alice,Lee,10A,2,100.0,47.0,71.0,47.0,83.7,55.0,True,False,25-26,Data
1178,Isabella,Walker,10B,1,53.0,84.0,49.0,71.0,71.7,82.0,True,True,26-27,Data
1087,Ethan,Taylor,10B,2,86.0,46.0,73.0,81.0,82.7,71.0,True,False,27-28,Data
1112,Mia,White,12B,1,100.0,85.0,92.0,63.0,80.9,88.0,True,False,27-28,Data
1123,Mia,Taylor,12B,2,60.0,55.0,66.0,64.0,74.6,59.0,True,False,27-28,Data
1061,Liam,Brown,11A,2,75.0,87.0,81.0,80.0,78.0,66.0,True,False,25-26,Data
1149,Sophia,Taylor,11A,2,42.0,82.0,51.0,72.0,62.0,63.0,True,False,25-26,Data
1033,James,Taylor,12A,2,91.0,92.0,72.5,55.0,91.9,77.0,True,False,26-27,Data
1197,Benjamin,Johnson,11B,2,55.0,43.0,62.0,76.0,99.6,71.0,False,False,27-28,Data
1019,Lucas,Morgan,10A,1,85.0,86.0,78.0,68.0,74.0,88.0,True,False,27-28,Data
1024,Ava,Walker,12A,1,55.0,89.0,62.0,83.0,85.3,80.0,True,False,25-26,Data
1062,James,Martin,11A,1,90.0,55.0,86.0,94.0,82.6,70.0,True,False,27-28,Data
1120,Evelyn,Brown,12B,1,72.0,41.0,100.0,62.0,94.1,67.0,True,False,26-27,Data
1137,Noah,Morgan,10A,1,73.0,70.0,56.0,63.0,93.6,69.0,True,False,26-27,Data
1150,Evelyn,Martin,12A,1,85.0,88.0,88.0,88.0,80.6,76.0,True,True,26-27,Data
1060,Noah,Martin,12A,1,65.0,88.0,86.0,79.0,76.1,94.0,True,False,27-28,Data
1102,Amelia,Taylor,11B,1,78.0,78.0,60.0,92.0,87.9,83.0,True,True,27-28,Data
1146,James,Johnson,11B,1,63.0,67.0,63.0,77.0,84.6,83.0,True,False,27-28,Data
1176,Ethan,Brown,10B,1,71.0,73.0,54.0,67.0,98.0,68.0,True,False,27-28,Data
1017,Evelyn,Johnson,11B,2,61.0,59.0,60.0,45.0,68.8,59.0,False,False,26-27,Data
1020,Logan,Smith,12B,1,82.0,68.0,68.0,100.0,77.9,71.0,True,True,26-27,Data
1054,Ethan,Walker,11B,1,50.0,49.0,51.0,47.0,87.3,50.0,False,False,25-26,Data
1073,James,Lee,11B,2,56.0,76.0,74.0,59.0,81.2,78.0,True,False,27-28,Data
1051,Amelia,Lee,11B,1,57.0,89.0,86.0,64.0,85.8,87.0,True,False,25-26,Data
1048,Sophia,Harris,11B,1,86.0,70.0,52.0,64.0,70.9,68.0,True,False,26-27,Data
1046,Elijah,Smith,12A,2,81.0,90.0,80.0,69.0,72.9,85.0,True,True,26-27,Data
1072,Ethan,Harris,12A,1,70.0,78.0,87.0,87.0,85.0,73.0,True,False,25-26,Data
1128,Logan,Johnson,11A,1,69.0,62.0,70.0,66.0,73.3,63.0,True,False,27-28,Data
1182,Isabella,Brown,12A,2,92.0,51.0,73.0,61.0,84.1,69.0,True,False,25-26,Data
1139,Harper,White,12B,1,84.0,71.3,96.0,60.0,86.1,63.0,True,False,25-26,Data
1200,Lucas,Harris,11B,2,100.0,80.0,60.0,75.0,90.9,80.0,True,False,26-27,Data
1118,Amelia,Johnson,11A,1,34.0,87.0,84.0,71.0,77.7,71.0,True,True,27-28,Data
1119,Mia,Johnson,10A,1,63.0,76.0,52.0,72.0,69.7,76.0,True,False,25-26,Data
1086,James,Brown,12B,2,67.0,100.0,71.0,67.0,86.7,85.0,True,False,26-27,Data
1044,Emma,Morgan,10B,1,31.0,67.0,51.0,46.0,81.9,58.0,False,False,25-26,Data
1167,Logan,Lee,10A,1,72.0,82.0,100.0,98.0,73.1,80.0,True,True,26-27,Data
1088,Noah,Harris,11A,2,55.0,63.0,76.0,73.0,87.0,80.0,True,False,26-27,Data
1165,Mason,Morgan,10B,1,52.0,42.0,61.0,50.0,78.6,52.0,False,True,25-26,Data
1101,Logan,Walker,10A,1,32.0,100.0,76.0,54.0,60.0,67.0,True,False,25-26,Data
1091,Harper,Harris,10B,2,65.0,76.0,68.0,65.0,78.5,78.0,True,False,27-28,Data
1168,Alice,Johnson,10B,1,74.0,67.0,65.0,68.0,85.6,65.0,True,False,26-27,Data
1036,Liam,Smith,12B,1,72.0,49.0,86.0,93.0,100.0,82.0,True,True,25-26,Data
1187,Daniel,Martin,12A,2,94.0,60.0,86.0,91.0,91.1,76.0,True,False,25-26,Data
1189,Emma,Lee,12B,2,98.0,88.0,68.0,89.0,72.5,100.0,True,False,25-26,Data
1035,Mason,Walker,10B,2,96.0,81.0,60.0,63.0,82.4,80.0,True,False,26-27,Data
1104,Sophia,White,12A,1,79.0,74.0,49.0,84.0,77.1,61.0,True,True,25-26,Data
1169,Elijah,Martin,10B,1,52.0,72.0,73.0,67.0,85.9,62.0,True,True,26-27,Data
1192,Benjamin,Brown,10A,1,74.0,60.0,84.0,72.7,75.7,68.0,True,False,25-26,Data
1108,Amelia,Martin,11A,2,67.0,83.0,69.0,97.0,89.2,76.0,True,False,27-28,Data
1070,Daniel,Johnson,11B,1,67.0,57.0,55.0,52.0,85.3,72.0,False,False,26-27,Data
1097,Evelyn,Morgan,11B,2,62.0,83.0,41.0,71.0,90.1,56.0,True,False,26-27,Data
1052,Lucas,Johnson,11A,2,84.0,35.0,80.0,94.0,97.3,69.0,True,False,25-26,Data
1177,Liam,Taylor,10A,2,54.0,54.0,73.0,88.0,75.2,71.0,True,True,27-28,Data
1007,Liam,Harris,12A,1,100.0,84.0,64.0,63.0,88.1,60.0,True,False,25-26,Data
1014,Sophia,Martin,10A,2,68.0,82.0,94.0,83.0,96.0,80.0,True,True,25-26,Data
1107,Alice,Walker,10A,2,59.0,46.0,44.0,75.0,75.3,67.0,False,False,27-28,Data
1171,Ethan,Martin,10A,2,78.0,87.0,57.0,91.0,82.7,85.0,True,False,27-28,Data
1093,Harper,Taylor,10B,2,60.0,84.0,62.0,79.0,60.0,50.0,True,False,27-28,Data
1173,Lucas,Lee,12B,1,91.0,70.0,73.0,68.0,87.4,86.0,True,False,27-28,Data
1161,Ethan,Johnson,11A,1,71.0,94.0,81.0,66.0,99.1,67.0,True,False,26-27,Data
1049,Evelyn,Harris,10B,1,78.0,100.0,13.0,34.0,85.7,65.0,False,False,26-27,Data
1144,Evelyn,Lee,12A,1,89.0,75.0,69.0,91.0,100.0,72.0,True,False,27-28,Data
1012,Sophia,Smith,12A,2,100.0,82.0,70.0,78.0,65.9,79.0,True,False,25-26,Data
1055,Emma,Harris,10B,2,100.0,47.0,40.0,52.0,79.7,67.0,False,True,25-26,Data
1068,Ethan,White,10B,1,51.0,65.0,72.0,55.0,73.7,64.0,True,False,25-26,Data
1071,Olivia,Lee,12A,1,64.0,81.0,70.0,77.0,87.5,90.0,True,False,25-26,Data
1031,Lucas,White,12B,1,60.0,77.0,100.0,82.0,73.3,88.0,True,False,25-26,Data
1006,Sophia,Lee,12B,1,73.0,84.0,59.0,88.0,68.1,63.0,True,False,25-26,Data
1043,Liam,White,11A,1,76.0,65.0,88.0,87.0,100.0,82.0,True,True,25-26,Data
1066,Harper,Smith,10A,2,33.0,58.0,93.0,62.0,69.0,50.0,True,True,27-28,Data
1026,Harper,Walker,10B,2,71.0,53.0,81.0,46.0,92.0,68.0,True,False,27-28,Data
1157,Liam,Johnson,10B,2,81.0,81.0,100.0,36.0,69.0,73.0,True,True,26-27,Data
1184,Lucas,Taylor,12A,1,73.0,96.0,68.0,75.0,77.9,98.0,True,False,26-27,Data
1194,Ava,Brown,11B,2,60.0,31.0,88.0,56.0,97.2,65.0,False,False,26-27,Data
1135,Mason,Smith,11A,2,48.0,84.0,82.0,76.0,81.1,76.0,True,False,27-28,Data
1179,Olivia,Johnson,11A,1,98.0,71.0,90.0,71.0,91.8,82.0,True,False,27-28,Data
1186,Elijah,White,11A,2,67.0,79.0,80.0,86.0,93.8,68.0,True,False,27-28,Data
1114,Emma,Smith,11B,2,57.0,92.0,88.0,77.0,84.1,67.0,True,False,25-26,Data
